Species,Island,Bill Length (mm),Bill Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Date Collected,Observer,Notes
Adelie,Biscoe,35.3,18.9,187,3800,FEMALE,2005-02-26,Field team,
adelie,Biscoe,40.6,18.6,183,3550,male,2006-03-27,Research station,checked
Adélie,Biscoe,40.5,17.9,187,3200,F,2007-04-01,Student group,entered from field sheet
Adelie,Biscoe,37.9,18.6,172,3150,f,2008-05-02,Field team,
adelie,Biscoe,40.5,18.9,180,3950,MALE,2009-06-03,Research station,checked
Adélie,Dream,39.5,16.7,178,3250,female,2000-07-04,Student group,entered from field sheet
Adelie,Dream,37.2,18.1,178,3900,M,2001-08-05,Field team,
adelie,Dream,39.5,17.8,188,3300,f,2002-09-06,Research station,checked
Adélie,Dream,40.9,18.9,184,3900,MALE,2003-10-07,Student group,entered from field sheet
Adelie,Dream,36.4,17,195,3325,female,2004-11-08,Field team,
adelie,Dream,39.2,21.1,196,4150,M,2005-12-09,Research station,checked
Adélie,Dream,38.8,20,190,3950,m,2006-01-10,Student group,entered from field sheet
Adelie,Dream,42.2,18.5,180,3550,FEMALE,2007-02-11,Field team,
adelie,Dream,37.6,19.3,181,3300,female,2008-03-12,Research station,checked
Adélie,Dream,39.8,19.1,184,4650,M,2009-04-13,Student group,entered from field sheet
Adelie,Dream,36.5,18,182,3150,f,2000-05-14,Field team,
adelie,Dream,40.8,18.4,195,3900,MALE,2001-06-15,Research station,checked
Adélie,Dream,36,18.5,186,3100,female,2002-07-16,Student group,entered from field sheet
Adelie,Dream,44.1,19.7,196,4400,M,2003-08-17,Field team,
adelie,Dream,37,16.9,185,3000,f,2004-09-18,Research station,checked
Adélie,Dream,39.6,18.8,190,4600,MALE,2005-10-19,Student group,entered from field sheet
Adelie,Dream,41.1,19,182,3425,male,2006-11-20,Field team,
adelie,Dream,37.5,18.9,179,2975,NA,2007-12-21,Research station,checked
Adélie,Dream,36,17.9,190,3450,f,2008-01-22,Student group,entered from field sheet
Adelie,Dream,42.3,21.2,191,4150,MALE,2009-02-23,Field team,
adelie,Biscoe,39.6,17.7,186,3500,female,2000-03-24,Research station,checked
Adélie,Biscoe,40.1,18.9,188,4300,M,2001-04-25,Student group,entered from field sheet
Adelie,Biscoe,35,17.9,190,3450,f,2002-05-26,Field team,
adelie,Biscoe,42,19.5,200,4050,MALE,2003-06-27,Research station,checked
Adélie,Biscoe,34.5,18.1,187,2900,female,2004-07-01,Student group,entered from field sheet
Adelie,Biscoe,41.4,18.6,191,3700,M,2005-08-02,Field team,
adelie,Biscoe,39,17.5,186,3550,f,2006-09-03,Research station,checked
Adélie,Biscoe,40.6,18.8,193,3800,MALE,2007-10-04,Student group,entered from field sheet
Adelie,Biscoe,36.5,16.6,181,2850,female,2008-11-05,Field team,
adelie,Biscoe,37.6,19.1,194,3750,M,2009-12-06,Research station,checked
Adélie,Biscoe,35.7,16.9,185,3150,f,2000-01-07,Student group,entered from field sheet
Adelie,Biscoe,41.3,21.1,195,4400,MALE,2001-02-08,Field team,
adelie,Biscoe,37.6,17,185,3600,female,2002-03-09,Research station,checked
Adélie,Biscoe,41.1,18.2,192,4050,M,2003-04-10,Student group,entered from field sheet
Adelie,Biscoe,36.4,17.1,184,2850,f,2004-05-11,Field team,
adelie,Biscoe,41.6,18,192,3950,MALE,2005-06-12,Research station,checked
Adélie,Biscoe,35.5,16.2,195,3350,female,2006-07-13,Student group,entered from field sheet
Adelie,Biscoe,41.1,19.1,188,4100,M,2007-08-14,Field team,
adelie,Torgersen,35.9,16.6,190,3050,f,2008-09-15,Research station,checked
Adélie,Torgersen,41.8,19.4,198,4450,MALE,2009-10-16,Student group,entered from field sheet
Adelie,Torgersen,33.5,19,190,3600,female,2000-11-17,Field team,
adelie,Torgersen,39.7,18.4,190,3900,M,2001-12-18,Research station,checked
Adélie,Torgersen,39.6,17.2,196,3550,f,2002-01-19,Student group,entered from field sheet
Adelie,Torgersen,45.8,18.9,197,4150,MALE,2003-02-20,Field team,
adelie,Torgersen,35.5,17.5,190,3700,female,2004-03-21,Research station,checked
Adélie,Torgersen,42.8,18.5,195,4250,M,2005-04-22,Student group,entered from field sheet
Adelie,Torgersen,40.9,16.8,191,3700,f,2006-05-23,Field team,
adelie,Torgersen,37.2,19.4,184,3900,MALE,2007-06-24,Research station,checked
Adélie,Torgersen,36.2,16.1,187,3550,female,2008-07-25,Student group,entered from field sheet
Adelie,Torgersen,42.1,19.1,195,4000,M,2009-08-26,Field team,
adelie,Torgersen,34.6,17.2,189,3200,f,2000-09-27,Research station,checked
Adélie,Torgersen,42.9,17.6,196,4700,MALE,2001-10-01,Student group,entered from field sheet
Adelie,Torgersen,36.7,18.8,187,3800,female,2002-11-02,Field team,
adelie,Torgersen,35.1,19.4,193,4200,M,2003-12-03,Research station,checked
Adélie,Dream,37.3,17.8,191,3350,f,2004-01-04,Student group,entered from field sheet
Adelie,Dream,41.3,20.3,194,3550,MALE,2005-02-05,Field team,
adelie,Dream,36.3,19.5,190,3800,male,2006-03-06,Research station,checked
Adélie,Dream,36.9,18.6,189,3500,F,2007-04-07,Student group,entered from field sheet
Adelie,Dream,38.3,19.2,189,3950,m,2008-05-08,Field team,
adelie,Dream,38.9,18.8,190,3600,FEMALE,2009-06-09,Research station,checked
Adélie,Dream,35.7,18,202,3550,female,2000-07-10,Student group,entered from field sheet
Adelie,Dream,41.1,18.1,205,4300,M,2001-08-11,Field team,
adelie,Dream,34,17.1,185,3400,f,2002-09-12,Research station,checked
Adélie,Dream,39.6,18.1,186,4450,MALE,2003-10-13,Student group,entered from field sheet
Adelie,Dream,36.2,17.3,187,3300,female,2004-11-14,Field team,
adelie,Dream,40.8,18.9,208,4300,M,2005-12-15,Research station,checked
Adélie,Dream,38.1,18.6,190,3700,f,2006-01-16,Student group,entered from field sheet
Adelie,Dream,40.3,18.5,196,4350,MALE,2007-02-17,Field team,
adelie,Dream,33.1,16.1,178,2900,female,2008-03-18,Research station,checked
Adélie,Dream,43.2,18.5,192,4100,M,2009-04-19,Student group,entered from field sheet
Adelie,Biscoe,35,17.9,192,3725,f,2000-05-20,Field team,
adelie,Biscoe,41,20,203,4725,MALE,2001-06-21,Research station,checked
Adélie,Biscoe,37.7,16,183,3075,female,2002-07-22,Student group,entered from field sheet
Adelie,Biscoe,37.8,20,190,4250,M,2003-08-23,Field team,
adelie,Biscoe,37.9,18.6,193,2925,f,2004-09-24,Research station,checked
Adélie,Biscoe,39.7,18.9,184,3550,MALE,2005-10-25,Student group,entered from field sheet
Adelie,Biscoe,38.6,17.2,199,3750,female,2006-11-26,Field team,
adelie,Biscoe,38.2,20,190,3900,M,2007-12-27,Research station,checked
Adélie,Biscoe,38.1,17,181,3175,f,2008-01-01,Student group,entered from field sheet
Adelie,Biscoe,43.2,19,197,4775,MALE,2009-02-02,Field team,
adelie,Biscoe,38.1,16.5,198,3825,female,2000-03-03,Research station,checked
Adélie,Biscoe,45.6,20.3,191,4600,M,2001-04-04,Student group,entered from field sheet
Adelie,Biscoe,39.7,17.7,193,3200,f,2002-05-05,Field team,
adelie,Biscoe,42.2,19.5,197,4275,MALE,2003-06-06,Research station,checked
Adélie,Biscoe,39.6,20.7,191,3900,female,2004-07-07,Student group,entered from field sheet
Adelie,Biscoe,42.7,18.3,196,4075,M,2005-08-08,Field team,
adelie,Torgersen,38.6,17,188,2900,f,2006-09-09,Research station,checked
Adélie,Torgersen,37.3,20.5,199,3775,MALE,2007-10-10,Student group,entered from field sheet
Adelie,Torgersen,35.7,17,189,3350,female,2008-11-11,Field team,
adelie,Torgersen,41.1,18.6,189,3325,M,2009-12-12,Research station,checked
Adélie,Torgersen,36.2,17.2,187,3150,f,2000-01-13,Student group,entered from field sheet
Adelie,Torgersen,37.7,19.8,198,3500,MALE,2001-02-14,Field team,
adelie,Torgersen,40.2,17,176,3450,female,2002-03-15,Research station,checked
Adélie,Torgersen,41.4,18.5,202,3875,M,2003-04-16,Student group,entered from field sheet
Adelie,Torgersen,35.2,15.9,186,3050,f,2004-05-17,Field team,
adelie,Torgersen,40.6,19,199,4000,MALE,2005-06-18,Research station,checked
Adélie,Torgersen,38.8,17.6,191,3275,female,2006-07-19,Student group,entered from field sheet
Adelie,Torgersen,41.5,18.3,195,4300,M,2007-08-20,Field team,
adelie,Torgersen,39,17.1,191,3050,f,2008-09-21,Research station,checked
Adélie,Torgersen,44.1,18,210,4000,MALE,2009-10-22,Student group,entered from field sheet
Adelie,Torgersen,38.5,17.9,190,3325,female,2000-11-23,Field team,
adelie,Torgersen,43.1,19.2,197,3500,M,2001-12-24,Research station,checked
Adélie,Dream,36.8,18.5,193,3500,f,2002-01-25,Student group,entered from field sheet
Adelie,Dream,37.5,18.5,199,4475,MALE,2003-02-26,Field team,
adelie,Dream,38.1,17.6,187,3425,female,2004-03-27,Research station,checked
Adélie,Dream,41.1,17.5,190,3900,M,2005-04-01,Student group,entered from field sheet
Adelie,Dream,35.6,17.5,191,3175,f,2006-05-02,Field team,
adelie,Dream,40.2,20.1,200,3975,MALE,2007-06-03,Research station,checked
Adélie,Dream,37,16.5,185,3400,female,2008-07-04,Student group,entered from field sheet
Adelie,Dream,39.7,17.9,193,4250,M,2009-08-05,Field team,
adelie,Dream,40.2,17.1,193,3400,f,2000-09-06,Research station,checked
Adélie,Dream,40.6,17.2,187,3475,MALE,2001-10-07,Student group,entered from field sheet
Adelie,Dream,32.1,15.5,188,3050,female,2002-11-08,Field team,
adelie,Dream,40.7,17,190,3725,M,2003-12-09,Research station,checked
Adélie,Dream,37.3,16.8,192,3000,f,2004-01-10,Student group,entered from field sheet
Adelie,Dream,39,18.7,185,3650,MALE,2005-02-11,Field team,
adelie,Dream,39.2,18.6,190,4250,male,2006-03-12,Research station,checked
Adélie,Dream,36.6,18.4,184,3475,F,2007-04-13,Student group,entered from field sheet
Adelie,Dream,36,17.8,195,3450,f,2008-05-14,Field team,
adelie,Dream,37.8,18.1,193,3750,MALE,2009-06-15,Research station,checked
Adélie,Dream,36,17.1,187,3700,female,2000-07-16,Student group,entered from field sheet
Adelie,Dream,41.5,18.5,201,4000,M,2001-08-17,Field team,
Chinstrap,Dream,46.5,17.9,192,3500,f,2002-09-18,Research station,checked
Chinstrap,Dream,50,19.5,196,3900,MALE,2003-10-19,Student group,entered from field sheet
Chinstrap,Dream,51.3,19.2,193,3650,male,2004-11-20,Field team,
Chinstrap,Dream,45.4,18.7,188,3525,F,2005-12-21,Research station,checked
Chinstrap,Dream,52.7,19.8,197,3725,m,2006-01-22,Student group,entered from field sheet
Chinstrap,Dream,45.2,17.8,198,3950,FEMALE,2007-02-23,Field team,
Chinstrap,Dream,46.1,18.2,178,3250,female,2008-03-24,Research station,checked
Chinstrap,Dream,51.3,18.2,197,3750,M,2009-04-25,Student group,entered from field sheet
Chinstrap,Dream,46,18.9,195,4150,f,2000-05-26,Field team,
Chinstrap,Dream,51.3,19.9,198,3700,MALE,2001-06-27,Research station,checked
Chinstrap,Dream,46.6,17.8,193,3800,female,2002-07-01,Student group,entered from field sheet
Chinstrap,Dream,51.7,20.3,194,3775,M,2003-08-02,Field team,
Chinstrap,Dream,47,17.3,185,3700,f,2004-09-03,Research station,checked
Chinstrap,Dream,52,18.1,201,4050,MALE,2005-10-04,Student group,entered from field sheet
Chinstrap,Dream,45.9,17.1,190,3575,female,2006-11-05,Field team,
Chinstrap,Dream,50.5,19.6,201,4050,M,2007-12-06,Research station,checked
Chinstrap,Dream,50.3,20,197,3300,m,2008-01-07,Student group,entered from field sheet
Chinstrap,Dream,58,17.8,181,3700,FEMALE,2009-02-08,Field team,
Chinstrap,Dream,46.4,18.6,190,3450,female,2000-03-09,Research station,checked
Chinstrap,Dream,49.2,18.2,195,4400,M,2001-04-10,Student group,entered from field sheet
Chinstrap,Dream,42.4,17.3,181,3600,f,2002-05-11,Field team,
Chinstrap,Dream,48.5,17.5,191,3400,MALE,2003-06-12,Research station,checked
Chinstrap,Dream,43.2,16.6,187,2900,female,2004-07-13,Student group,entered from field sheet
Chinstrap,Dream,50.6,19.4,193,3800,M,2005-08-14,Field team,
Chinstrap,Dream,46.7,17.9,195,3300,f,2006-09-15,Research station,checked
Chinstrap,Dream,52,19,197,4150,MALE,2007-10-16,Student group,entered from field sheet
Chinstrap,Dream,50.5,18.4,200,3400,female,2008-11-17,Field team,
Chinstrap,Dream,49.5,19,200,3800,M,2009-12-18,Research station,checked
Chinstrap,Dream,46.4,17.8,191,3700,f,2000-01-19,Student group,entered from field sheet
Chinstrap,Dream,52.8,20,205,4550,MALE,2001-02-20,Field team,
Chinstrap,Dream,40.9,16.6,187,3200,female,2002-03-21,Research station,checked
Chinstrap,Dream,54.2,20.8,201,4300,M,2003-04-22,Student group,entered from field sheet
Chinstrap,Dream,42.5,16.7,187,3350,f,2004-05-23,Field team,
Chinstrap,Dream,51,18.8,203,4100,MALE,2005-06-24,Research station,checked
Chinstrap,Dream,49.7,18.6,195,3600,male,2006-07-25,Student group,entered from field sheet
Chinstrap,Dream,47.5,16.8,199,3900,F,2007-08-26,Field team,
Chinstrap,Dream,47.6,18.3,195,3850,f,2008-09-27,Research station,checked
Chinstrap,Dream,52,20.7,210,4800,MALE,2009-10-01,Student group,entered from field sheet
Chinstrap,Dream,46.9,16.6,192,2700,female,2000-11-02,Field team,
Chinstrap,Dream,53.5,19.9,205,4500,M,2001-12-03,Research station,checked
Chinstrap,Dream,49,19.5,210,3950,m,2002-01-04,Student group,entered from field sheet
Chinstrap,Dream,46.2,17.5,187,3650,FEMALE,2003-02-05,Field team,
Chinstrap,Dream,50.9,19.1,196,3550,male,2004-03-06,Research station,checked
Chinstrap,Dream,45.5,17,196,3500,F,2005-04-07,Student group,entered from field sheet
Chinstrap,Dream,50.9,17.9,196,3675,f,2006-05-08,Field team,
Chinstrap,Dream,50.8,18.5,201,4450,MALE,2007-06-09,Research station,checked
Chinstrap,Dream,50.1,17.9,190,3400,female,2008-07-10,Student group,entered from field sheet
Chinstrap,Dream,49,19.6,212,4300,M,2009-08-11,Field team,
Chinstrap,Dream,51.5,18.7,187,3250,m,2000-09-12,Research station,checked
Chinstrap,Dream,49.8,17.3,198,3675,FEMALE,2001-10-13,Student group,entered from field sheet
Chinstrap,Dream,48.1,16.4,199,3325,female,2002-11-14,Field team,
Chinstrap,Dream,51.4,19,201,3950,M,2003-12-15,Research station,checked
Chinstrap,Dream,45.7,17.3,193,3600,f,2004-01-16,Student group,entered from field sheet
Chinstrap,Dream,50.7,19.7,203,4050,MALE,2005-02-17,Field team,
Chinstrap,Dream,42.5,17.3,187,3350,female,2006-03-18,Research station,checked
Chinstrap,Dream,52.2,18.8,197,3450,M,2007-04-19,Student group,entered from field sheet
Chinstrap,Dream,45.2,16.6,191,3250,f,2008-05-20,Field team,
Chinstrap,Dream,49.3,19.9,203,4050,MALE,2009-06-21,Research station,checked
Chinstrap,Dream,50.2,18.8,202,3800,male,2000-07-22,Student group,entered from field sheet
Chinstrap,Dream,45.6,19.4,194,3525,F,2001-08-23,Field team,
Chinstrap,Dream,51.9,19.5,206,3950,m,2002-09-24,Research station,checked
Chinstrap,Dream,46.8,16.5,189,3650,FEMALE,2003-10-25,Student group,entered from field sheet
Chinstrap,Dream,45.7,17,195,3650,female,2004-11-26,Field team,
Chinstrap,Dream,55.8,19.8,207,4000,M,2005-12-27,Research station,checked
Chinstrap,Dream,43.5,18.1,202,3400,f,2006-01-01,Student group,entered from field sheet
Chinstrap,Dream,49.6,18.2,193,3775,MALE,2007-02-02,Field team,
Chinstrap,Dream,50.8,19,210,4100,male,2008-03-03,Research station,checked
Chinstrap,Dream,50.2,18.7,198,3775,F,2009-04-04,Student group,entered from field sheet
Gentoo,Biscoe,46.1,13.2,211,4500,f,2000-05-05,Field team,
Gentoo,Biscoe,50,16.3,230,5700,MALE,2001-06-06,Research station,checked
Gentoo,Biscoe,48.7,14.1,210,4450,female,2002-07-07,Student group,entered from field sheet
Gentoo,Biscoe,50,15.2,218,5700,M,2003-08-08,Field team,
Gentoo,Biscoe,47.6,14.5,215,5400,m,2004-09-09,Research station,checked
Gentoo,Biscoe,46.5,13.5,210,4550,FEMALE,2005-10-10,Student group,entered from field sheet
Gentoo,Biscoe,45.4,14.6,211,4800,female,2006-11-11,Field team,
Gentoo,Biscoe,46.7,15.3,219,5200,M,2007-12-12,Research station,checked
Gentoo,Biscoe,43.3,13.4,209,4400,f,2008-01-13,Student group,entered from field sheet
Gentoo,Biscoe,46.8,15.4,215,5150,MALE,2009-02-14,Field team,
Gentoo,Biscoe,40.9,13.7,214,4650,female,2000-03-15,Research station,checked
Gentoo,Biscoe,49,16.1,216,5550,M,2001-04-16,Student group,entered from field sheet
Gentoo,Biscoe,45.5,13.7,214,4650,f,2002-05-17,Field team,
Gentoo,Biscoe,48.4,14.6,213,5850,MALE,2003-06-18,Research station,checked
Gentoo,Biscoe,45.8,14.6,210,4200,female,2004-07-19,Student group,entered from field sheet
Gentoo,Biscoe,49.3,15.7,217,5850,M,2005-08-20,Field team,
Gentoo,Biscoe,42,13.5,210,4150,f,2006-09-21,Research station,checked
Gentoo,Biscoe,49.2,15.2,221,6300,MALE,2007-10-22,Student group,entered from field sheet
Gentoo,Biscoe,46.2,14.5,209,4800,female,2008-11-23,Field team,
Gentoo,Biscoe,48.7,15.1,222,5350,M,2009-12-24,Research station,checked
Gentoo,Biscoe,50.2,14.3,218,5700,m,2000-01-25,Student group,entered from field sheet
Gentoo,Biscoe,45.1,14.5,215,5000,FEMALE,2001-02-26,Field team,
Gentoo,Biscoe,46.5,14.5,213,4400,female,2002-03-27,Research station,checked
Gentoo,Biscoe,46.3,15.8,215,5050,M,2003-04-01,Student group,entered from field sheet
Gentoo,Biscoe,42.9,13.1,215,5000,f,2004-05-02,Field team,
Gentoo,Biscoe,46.1,15.1,215,5100,MALE,2005-06-03,Research station,checked
Gentoo,Biscoe,44.5,14.3,216,4100,unknown,2006-07-04,Student group,entered from field sheet
Gentoo,Biscoe,47.8,15,215,5650,M,2007-08-05,Field team,
Gentoo,Biscoe,48.2,14.3,210,4600,f,2008-09-06,Research station,checked
Gentoo,Biscoe,50,15.3,220,5550,MALE,2009-10-07,Student group,entered from field sheet
Gentoo,Biscoe,47.3,15.3,222,5250,male,2000-11-08,Field team,
Gentoo,Biscoe,42.8,14.2,209,4700,F,2001-12-09,Research station,checked
Gentoo,Biscoe,45.1,14.5,207,5050,f,2002-01-10,Student group,entered from field sheet
Gentoo,Biscoe,59.6,17,230,6050,MALE,2003-02-11,Field team,
Gentoo,Biscoe,49.1,14.8,220,5150,female,2004-03-12,Research station,checked
Gentoo,Biscoe,48.4,16.3,220,5400,M,2005-04-13,Student group,entered from field sheet
Gentoo,Biscoe,42.6,13.7,213,4950,f,2006-05-14,Field team,
Gentoo,Biscoe,44.4,17.3,219,5250,MALE,2007-06-15,Research station,checked
Gentoo,Biscoe,44,13.6,208,4350,female,2008-07-16,Student group,entered from field sheet
Gentoo,Biscoe,48.7,15.7,208,5350,M,2009-08-17,Field team,
Gentoo,Biscoe,42.7,13.7,208,3950,f,2000-09-18,Research station,checked
Gentoo,Biscoe,49.6,16,225,5700,MALE,2001-10-19,Student group,entered from field sheet
Gentoo,Biscoe,45.3,13.7,210,4300,female,2002-11-20,Field team,
Gentoo,Biscoe,49.6,15,216,4750,M,2003-12-21,Research station,checked
Gentoo,Biscoe,50.5,15.9,222,5550,m,2004-01-22,Student group,entered from field sheet
Gentoo,Biscoe,43.6,13.9,217,4900,FEMALE,2005-02-23,Field team,
Gentoo,Biscoe,45.5,13.9,210,4200,female,2006-03-24,Research station,checked
Gentoo,Biscoe,50.5,15.9,225,5400,M,2007-04-25,Student group,entered from field sheet
Gentoo,Biscoe,44.9,13.3,213,5100,f,2008-05-26,Field team,
Gentoo,Biscoe,45.2,15.8,215,5300,MALE,2009-06-27,Research station,checked
Gentoo,Biscoe,46.6,14.2,210,4850,female,2000-07-01,Student group,entered from field sheet
Gentoo,Biscoe,48.5,14.1,220,5300,M,2001-08-02,Field team,
Gentoo,Biscoe,45.1,14.4,210,4400,f,2002-09-03,Research station,checked
Gentoo,Biscoe,50.1,15,225,5000,MALE,2003-10-04,Student group,entered from field sheet
Gentoo,Biscoe,46.5,14.4,217,4900,female,2004-11-05,Field team,
Gentoo,Biscoe,45,15.4,220,5050,M,2005-12-06,Research station,checked
Gentoo,Biscoe,43.8,13.9,208,4300,f,2006-01-07,Student group,entered from field sheet
Gentoo,Biscoe,45.5,15,220,5000,MALE,2007-02-08,Field team,
Gentoo,Biscoe,43.2,14.5,208,4450,female,2008-03-09,Research station,checked
Gentoo,Biscoe,50.4,15.3,224,5550,M,2009-04-10,Student group,entered from field sheet
Gentoo,Biscoe,45.3,13.8,208,4200,f,2000-05-11,Field team,
Gentoo,Biscoe,46.2,14.9,221,5300,MALE,2001-06-12,Research station,checked
Gentoo,Biscoe,45.7,13.9,214,4400,female,2002-07-13,Student group,entered from field sheet
Gentoo,Biscoe,54.3,15.7,231,5650,M,2003-08-14,Field team,
Gentoo,Biscoe,45.8,14.2,219,4700,f,2004-09-15,Research station,checked
Gentoo,Biscoe,49.8,16.8,230,5700,MALE,2005-10-16,Student group,entered from field sheet
Gentoo,Biscoe,46.2,14.4,214,4650,unknown,2006-11-17,Field team,
Gentoo,Biscoe,49.5,16.2,229,5800,M,2007-12-18,Research station,checked
Gentoo,Biscoe,43.5,14.2,220,4700,f,2008-01-19,Student group,entered from field sheet
Gentoo,Biscoe,50.7,15,223,5550,MALE,2009-02-20,Field team,
Gentoo,Biscoe,47.7,15,216,4750,female,2000-03-21,Research station,checked
Gentoo,Biscoe,46.4,15.6,221,5000,M,2001-04-22,Student group,entered from field sheet
Gentoo,Biscoe,48.2,15.6,221,5100,m,2002-05-23,Field team,
Gentoo,Biscoe,46.5,14.8,217,5200,FEMALE,2003-06-24,Research station,checked
Gentoo,Biscoe,46.4,15,216,4700,female,2004-07-25,Student group,entered from field sheet
Gentoo,Biscoe,48.6,16,230,5800,M,2005-08-26,Field team,
Gentoo,Biscoe,47.5,14.2,209,4600,f,2006-09-27,Research station,checked
Gentoo,Biscoe,51.1,16.3,220,6000,MALE,2007-10-01,Student group,entered from field sheet
Gentoo,Biscoe,45.2,13.8,215,4750,female,2008-11-02,Field team,
Gentoo,Biscoe,45.2,16.4,223,5950,M,2009-12-03,Research station,checked
Gentoo,Biscoe,49.1,14.5,212,4625,f,2000-01-04,Student group,entered from field sheet
Gentoo,Biscoe,52.5,15.6,221,5450,MALE,2001-02-05,Field team,
Gentoo,Biscoe,47.4,14.6,212,4725,female,2002-03-06,Research station,checked
Gentoo,Biscoe,50,15.9,224,5350,M,2003-04-07,Student group,entered from field sheet
Gentoo,Biscoe,44.9,13.8,212,4750,f,2004-05-08,Field team,
Gentoo,Biscoe,50.8,17.3,228,5600,MALE,2005-06-09,Research station,checked
Gentoo,Biscoe,43.4,14.4,218,4600,female,2006-07-10,Student group,entered from field sheet
Gentoo,Biscoe,51.3,14.2,218,5300,M,2007-08-11,Field team,
Gentoo,Biscoe,47.5,14,212,4875,f,2008-09-12,Research station,checked
Gentoo,Biscoe,52.1,17,230,5550,MALE,2009-10-13,Student group,entered from field sheet
Gentoo,Biscoe,47.5,15,218,4950,female,2000-11-14,Field team,
Gentoo,Biscoe,52.2,17.1,228,5400,M,2001-12-15,Research station,checked
Gentoo,Biscoe,45.5,14.5,212,4750,f,2002-01-16,Student group,entered from field sheet
Gentoo,Biscoe,49.5,16.1,224,5650,MALE,2003-02-17,Field team,
Gentoo,Biscoe,44.5,14.7,214,4850,female,2004-03-18,Research station,checked
Gentoo,Biscoe,50.8,15.7,226,5200,M,2005-04-19,Student group,entered from field sheet
Gentoo,Biscoe,49.4,15.8,216,4925,m,2006-05-20,Field team,
Gentoo,Biscoe,46.9,14.6,222,4875,FEMALE,2007-06-21,Research station,checked
Gentoo,Biscoe,48.4,14.4,203,4625,female,2008-07-22,Student group,entered from field sheet
Gentoo,Biscoe,51.1,16.5,225,5250,M,2009-08-23,Field team,
Gentoo,Biscoe,48.5,15,219,4850,f,2000-09-24,Research station,checked
Gentoo,Biscoe,55.9,17,228,5600,MALE,2001-10-25,Student group,entered from field sheet
Gentoo,Biscoe,47.2,15.5,215,4975,female,2002-11-26,Field team,
Gentoo,Biscoe,49.1,15,228,5500,M,2003-12-27,Research station,checked
Gentoo,Biscoe,47.3,13.8,216,4725,,2004-01-01,Student group,entered from field sheet
Gentoo,Biscoe,46.8,16.1,215,5500,MALE,2005-02-02,Field team,
Gentoo,Biscoe,41.7,14.7,210,4700,female,2006-03-03,Research station,checked
Gentoo,Biscoe,53.4,15.8,219,5500,M,2007-04-04,Student group,entered from field sheet
Gentoo,Biscoe,43.3,14,208,4575,f,2008-05-05,Field team,
Gentoo,Biscoe,48.1,15.1,209,5500,MALE,2009-06-06,Research station,checked
Gentoo,Biscoe,50.5,15.2,216,5000,female,2000-07-07,Student group,entered from field sheet
Gentoo,Biscoe,49.8,15.9,229,5950,M,2001-08-08,Field team,
Gentoo,Biscoe,43.5,15.2,213,4650,f,2002-09-09,Research station,checked
Gentoo,Biscoe,51.5,16.3,230,5500,MALE,2003-10-10,Student group,entered from field sheet
Gentoo,Biscoe,46.2,14.1,217,4375,female,2004-11-11,Field team,
Gentoo,Biscoe,55.1,16,230,5850,M,2005-12-12,Research station,checked
Gentoo,Biscoe,44.5,15.7,217,4875,,2006-01-13,Student group,entered from field sheet
Gentoo,Biscoe,48.8,16.2,222,6000,MALE,2007-02-14,Field team,
Gentoo,Biscoe,47.2,13.7,214,4925,female,2008-03-15,Research station,checked
